longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4472;-34.5636;2005-12-01;11 DE SEPTIEMBRE DE 1888;1600;766;970000;1266.3;;R1a;argenprop_36;2.99;2.9003e+006;3786.3;BELGRANO;13
-58.4544;-34.555;2005-12-01;11 DE SEPTIEMBRE DE 1888;2500;341;320000;938.4;;U23;argenprop_51;2.99;956800;2805.9;BELGRANO;13
-58.4108;-34.6166;2005-12-01;24 DE NOVIEMBRE;500;203;90000;443.3;;E3;argenprop_33;2.99;269100;1325.6;BALVANERA;3
-58.4102;-34.6247;2005-12-01;24 DE NOVIEMBRE;1200;142;77800;547.9;3.46;C3 I;buscainmuebles_10;2.99;232622;1638.2;SAN CRISTOBAL;3
-58.4097;-34.6299;2005-12-01;24 DE NOVIEMBRE;1600;120;51500;429.2;;R2a II;argenprop_51;2.99;153985;1283.2;PARQUE PATRICIOS;4
-58.4577;-34.553;2005-12-01;3 DE FEBRERO;2800;375;360000;960;3;E3;buscainmuebles_36;2.99;1.0764e+006;2870.4;BELGRANO;13
-58.4408;-34.598;2005-12-01;ACEVEDO;400;556;450000;809.4;;C3 I;argenprop_15;2.99;1.3455e+006;2420;VILLA CRESPO;15
-58.4901;-34.5569;2005-12-01;ACHA, MARIANO, Gral.;3900;289.1;102000;352.9;;R2b I;argenprop_42;2.99;304980;1055;SAAVEDRA;12
-58.4949;-34.55;2005-12-01;ACHA, MARIANO, Gral.;4800;230;85000;369.6;;R2b I;argenprop_44;2.99;254150;1105;SAAVEDRA;12
-58.4775;-34.6376;2005-12-01;ACOSTA, MARIANO;400;215;110000;511.6;;R2a II;buscainmuebles_18;2.99;328900;1529.8;FLORESTA;10
-58.4767;-34.6383;2005-12-01;ACOSTA, MARIANO;500;180;108000;600;;R2a II;argenprop_43;2.99;322920;1794;FLORESTA;10
-58.4403;-34.6078;2005-12-01;ACOYTE;900;173;148000;855.5;;C3 I;argenprop_39;2.99;442520;2557.9;CABALLITO;6
-58.4412;-34.6053;2005-12-01;ACOYTE;1200;99;110000;1111.1;;R2b I;argenprop_76;2.99;328900;3322.2;VILLA CRESPO;15
-58.4212;-34.5941;2005-12-08;ACUÑA DE FIGUEROA, FRANCISCO;1500;433;300000;692.8;1.6;R2b I;clarin_hasta15-12_i;3;900000;2078.5;PALERMO;14
-58.421;-34.5928;2005-12-01;ACUÑA DE FIGUEROA, FRANCISCO;1600;160;190000;1187.5;1.6;R2b I;argenprop_66;2.99;568100;3550.6;PALERMO;14
-58.4126;-34.6182;2005-12-01;AGRELO;3300;335;165000;492.5;1.6;E3;buscainmuebles_25;2.99;493350;1472.7;BALVANERA;3
-58.4153;-34.6185;2005-12-01;AGRELO;3500;336;120000;357.1;1.6;R2b I;buscainmuebles_20;2.99;358800;1067.9;ALMAGRO;5
-58.4105;-34.5981;2005-12-01;AGUERO;1000;122;210000;1721.3;;C3 I;argenprop_70;2.99;627900;5146.7;RECOLETA;3
-58.4374;-34.596;2005-12-01;AGUIRRE;700;139;82000;589.9;;R2b I;argenprop_14;2.99;245180;1763.9;VILLA CRESPO;15
-58.498;-34.5745;2005-12-01;AIZPURUA;3000;190;75000;394.7;;R2b I;argenprop_20;2.99;224250;1180.3;VILLA URQUIZA;12
-58.5126;-34.5793;2005-12-13;ALBARELLOS;3100;346.4;110000;317.6;;R2b II;expoclasificados_98;3.02;332200;959;VILLA PUEYRREDON;12
-58.4294;-34.6365;2005-12-01;ALBARRACIN;1700;472;87000;184.3;;R2b II;argenprop_69;2.99;260130;551.1;PARQUE CHACABUCO;7
-58.4291;-34.6224;2005-12-01;ALBERDI, JUAN BAUTISTA;100;937;1000000;1067.2;5.2;R2a II;clasificadosargentinos;2.99;2.99e+006;3191;CABALLITO;6
-58.4339;-34.6231;2005-12-01;ALBERDI, JUAN BAUTISTA;440;222;89000;400.9;4;R2a II;buscainmuebles_13;2.99;266110;1198.7;CABALLITO;6
-58.4509;-34.627;2005-12-01;ALBERDI, JUAN BAUTISTA;1600;276;320000;1159.4;5.2;R2a II;buscainmuebles_34;2.99;956800;3466.7;CABALLITO;6
-58.4509;-34.627;2005-12-01;ALBERDI, JUAN BAUTISTA;1600;300;300000;1000;;R2a II;argenprop_30;2.99;897000;2990;CABALLITO;6
-58.463;-34.6318;2005-12-01;ALBERDI, JUAN BAUTISTA;2500;310;45000;145.2;3.5;R2a II;argenprop_03;2.99;134550;434;FLORES;7
-58.4773;-34.6366;2005-12-01;ALBERDI, JUAN BAUTISTA;3700;845;600000;710.1;;C3 II;argenprop_08;2.99;1.794e+006;2123.1;FLORESTA;10
-58.4896;-34.642;2005-12-13;ALBERDI, JUAN BAUTISTA;4499;227.4;89000;391.4;4;C3 II;expoclasificados_96;3.02;268780;1182.2;VILLA LURO;10
-58.4008;-34.6186;2005-12-01;ALBERTI;800;260;190000;730.8;;C3 I;argenprop_64;2.99;568100;2185;SAN CRISTOBAL;3
-58.4007;-34.6197;2005-12-01;ALBERTI;900;195;90000;461.5;;R2a II;argenprop_35;2.99;269100;1380;SAN CRISTOBAL;3
-58.4986;-34.6166;2005-12-01;ALCARAZ;4200;194;72000;371.2;;R2a II;buscainmuebles_09;2.99;215280;1109.9;MONTE CASTRO;10
